#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML_NEW
#Frequency(Hz),General/Unknown()_Real
3150.000000,35.295868
3155.000000,35.293880
3160.000000,35.296692
3165.000000,35.303829
3170.000000,35.315456
3175.000000,35.331718
3180.000000,35.352814
3185.000000,35.378479
3190.000000,35.409176
3195.000000,35.444725
3200.000000,35.484283
3205.000000,35.527451
3210.000000,35.573296
3215.000000,35.620865
3220.000000,35.669643
3225.000000,35.718517
3230.000000,35.766834
3235.000000,35.814224
3240.000000,35.860085
3245.000000,35.903912
3250.000000,35.945404
3255.000000,35.984447
3260.000000,36.020451
3265.000000,36.053493
3270.000000,36.083340
3275.000000,36.110096
3280.000000,36.133324
3285.000000,36.152824
3290.000000,36.168941
3295.000000,36.181736
3300.000000,36.191311
3305.000000,36.197609
3310.000000,36.201115
3315.000000,36.202118
3320.000000,36.200951
3325.000000,36.198296
3330.000000,36.194553
3335.000000,36.189529
3340.000000,36.183880
3345.000000,36.177467
3350.000000,36.170288
3355.000000,36.162174
3360.000000,36.152969
3365.000000,36.142525
3370.000000,36.130558
3375.000000,36.117088
3380.000000,36.102276
3385.000000,36.085789
3390.000000,36.067787
3395.000000,36.047852
3400.000000,36.026348
3405.000000,36.003357
3410.000000,35.979034
3415.000000,35.953793
3420.000000,35.928185
3425.000000,35.903049
3430.000000,35.879078
3435.000000,35.856853
3440.000000,35.837009
3445.000000,35.819973
3450.000000,35.805664
3455.000000,35.793995
3460.000000,35.784542
3465.000000,35.776699
3470.000000,35.769657
3475.000000,35.762913
3480.000000,35.755714
3485.000000,35.747913
3490.000000,35.739048
3495.000000,35.728966
3500.000000,35.717571
3505.000000,35.704601
3510.000000,35.690376
3515.000000,35.674961
3520.000000,35.658588
3525.000000,35.641258
3530.000000,35.623592
3535.000000,35.605301
3540.000000,35.587250
3545.000000,35.569382
3550.000000,35.552559
3555.000000,35.536469
3560.000000,35.521954
3565.000000,35.509556
3570.000000,35.499676
3575.000000,35.493279
3580.000000,35.491116
3585.000000,35.493492
3590.000000,35.500591
3595.000000,35.512802
3600.000000,35.530094
3605.000000,35.552078
3610.000000,35.578449
3615.000000,35.608471
3620.000000,35.641609
3625.000000,35.676735
3630.000000,35.713326
3635.000000,35.750999
3640.000000,35.788773
3645.000000,35.826252
3650.000000,35.863110
3655.000000,35.898575
3660.000000,35.932503
3665.000000,35.965179
3670.000000,35.996147
3675.000000,36.024788
3680.000000,36.051308
3685.000000,36.075592
3690.000000,36.097851
3695.000000,36.117733
3700.000000,36.135643
3705.000000,36.150799
3710.000000,36.163586
3715.000000,36.174366
3720.000000,36.182690
3725.000000,36.188599
3730.000000,36.192177
3735.000000,36.193775
3740.000000,36.192993
3745.000000,36.190323
3750.000000,36.185307
3755.000000,36.178856
3760.000000,36.170719
3765.000000,36.160824
3770.000000,36.149319
3775.000000,36.135857
